id,slug,cnt_pages,cnt_products_last_page
10,trubnyj_prokat,1,0
20,detali_truboprovoda_v_izoljatsii,1,0
21,truboprovodnaja_armatura,1,0
23,opora_truboprovoda,1,0
25,kipia_kontrolno-izmeritelnoe_oborudovanie_i_avtomatika,1,0
26,rezervuary,1,0
28,chugunnye_truby,37,2
30,aljuminievye_truby,1623,9
31,truby_mednye,347,2
32,bronzovye_truby,45,1
33,titanovye_truby,537,16
34,truby_v_izoljatsii,1,0
37,truby_elektrosvarnye,4645,15
56,truba_obsadnaya,17,4
57,truba_asbestocementnaya,4,15
58,truba_vosstanovlennaya,5,15
59,truba_bu,7,8
75,truby_vus,12,12
78,truba_nerzhavejuschaja,2145,8
92,antikorrozijnaja_izoljatsija,1,0
94,soedinitelnye_detali,1,0
95,zapornaja_armatura,1,0
96,chugunnaja_truboprovodnaja_armatura,1,0
104,svarochnoe_oborudovanie_i_instrument,1,0
106,zadvizhki,51,4
109,klapany_predohranitelnye,13,2
110,ventili,4,1
111,filtry,1,0
113,krany,26,16
120,bloki_katkovye,3,11
121,opory_katkovye,12,9
122,obojmy_katkovye,1,3
123,bloki_pruzhinnye,4,18
124,podveski,1,0
125,schetchiki_vody,2,1
127,termometry,2,16
129,elektroprivody,4,4
144,besshovnye_truby,7110,5
151,truby_nikelevye,89,2
154,truby_svincovye,12,2
160,nepodvizhnaja_opora_ppu,3,3
166,listovoj_prokat,1,0
167,alyuminievyj_list,2314,9
169,bronzovyj_list,158,15
172,latunnyj_list,429,18
175,titanovyj_list,680,11
178,medno-nikelevyj_list,7,12
179,mednyj_list,257,18
183,svintsovyj_list,10,2
184,stalnoj_list,4854,6
189,chugunnaja_zaglushka,2,8
191,rezervuary_vertikalnye_stalnye,1,7
192,baki_vertikalnye_tsilindricheskie,747,11
193,baki_kondensatnye,1,9
194,baki_prjamougolnye,1,6
195,teploakkumulyator,15,3
196,emkosti_podzemnye_drenazhnye,1,7
197,pozharnye_podzemnye_stalnye_rezervuary,1,5
198,silosy_dlja_tsementa,1,16
200,akkumulirujuschaja_emkost_iz_stekloplastika,2,3
203,evrokuby,1,3
204,nasosy,1,0
205,gorizontalnye_nasosy,1,0
208,konsolnye_nasosy,1,0
209,fekalnye_nasosy,3,4
210,pischevye_nasosy,1,5
211,konsolnye_monoblochno-linejnye_nasosy,2,4
212,vihrevye_nasosy,5,7
213,kolovratnye_nososy,1,4
214,pitatelnye_nasosy,1,3
215,vakuumnye_nasosy,1,8
216,sektsionnye_nasosy,1,11
217,kondensatnye_nasosy,1,16
219,nasosy_obemnogo_tipa,7,12
221,2-h_vintovye_nasosy,2,3
222,3-h_vintovye_nasosy,2,15
223,morskie_nasosy,3,11
226,pogruzhnye_neftjanye_nasosy,2,12
229,plunzherno-diafragmennye_nasosy,1,3
232,etsv,61,9
233,boosta,12,18
241,spa_6,2,4
246,odnovintovye_nasosy,2,14
254,kontrgajki,34,8
261,podvizhnaja_i_napravljajuschaja_opora_v_ppu_izoljatsii,1,13
262,podvizhnaja_homutovaja_opora,5,8
277,korpusnye_opory,12,2
305,skolzjaschie_opory,21,10
331,tavrovye_opory,14,9
338,shvellernye_opory,8,9
341,opora_vertikalnyh_truboprovodov,2,16
343,opora_krutoizognutyh_otvodov,1,14
346,razgruzochnaja_opora,1,4
347,reguliruemye_opory_truboprovodov,1,14
348,svarnye_napravljajuschie_opory,2,2
386,opornye_balki,2,18
424,podvesnaja_pruzhinnaja_opora,4,13
434,dvigateli,1,0
437,elektrodvigateli_vzryvozaschischennye,18,7
439,elektrodvigateli_odnofaznye_gost_r,2,5
442,kranovye_elektrodvigateli,7,12
510,metizy,1,0
511,bolty_fundamentalnye,50,16
536,lemeshnyj_bolt,17,18
537,rezbovaja_shpilka,16,12
538,pruzhinnaja_shajba,8,9
539,ploskaja_shajba,12,13
543,bolty,1,0
544,shpilki,1,0
545,shajby,1,0
546,kosaja_shajba,3,15
547,kvadratnaja_shajba,2,12
548,bolty_s_shestigrannoj_golovkoj,4,5
550,vinty,1,0
556,latunnye_vinty,101,6
560,stalnye_vinty,75,11
561,zaklepki,1,0
562,aljuminievye_zaklepki,55,18
570,mednye_zaklepki,107,8
574,stalnye_zaklepki,1,0
580,tsvetnoj_metalloprokat,1,0
610,dnischa,3935,1
656,chushki_slitki,1,0
657,aljuminievye_chushki,3,9
662,babity,1,14
684,asbotekstolit,36,18
685,chernyj_prokat,1,0
687,shary-stalnye,189,16
688,truba_zagotovka,519,5
701,truba_iz_kaprolona,8,9
702,truba_iz_ftoroplasta,2,7
706,asbotsementnye_listy,1,5
707,krugi_prutki_iz_tsvetnyh_metallov,1,0
710,folga_iz_tsvetnyh_metallov,1,0
712,burilnye_shtangi,7,18
715,burovoe_oborudovanie,1,0
717,orebrennaja_bimetallicheskaja_truba,5,18
730,relsy-i-krepezh,1,0
733,rels,5,13
749,truby_iz_orgstekla,5,14
759,spetsialnye_stali_i_splavy,1,0
760,zharoprochnye_stali,1,0
770,zharoprochnaja_plita,69,11
771,zharoprochnaja_truba,112,2
778,elektrotehnicheskij_list,284,1
790,stalnoj_kanat_dvojnoj_svivki,26,8
796,podemnoe_oborudovanie,1,0
797,stropy,1,0
895,nerzhavejuschij_prokat,1,0
896,nerzhavejuschaja_provoloka,103,2
897,nerzhavejuschaja_svarochnaja_provoloka,39,12
899,provoloka_iz_tsvetnyh_metallov,1,0
901,polosy_iz_tsvetnyh_metallov,1,0
906,fasonnyj_prokat,1,0
908,nerzhavejuschij_krug,528,4
909,bystrorezhuschie_stali,2651,14
913,pretsizionnye_splavy,1,0
941,pretsizionnaja_truba,2,10
942,magnitnaja_provoloka,10,6
955,konstruktsionnye_stali,1,0
956,konstruktsionnye_legirovannye_stali,112,2
958,ressorno-pruzhinnye_stali,1,0
959,ressorno-pruzhinnyj_krug,56,10
960,instrumentalnye_stali,1,0
963,instrumentalnye_legirovannye_stali,112,2
965,vtulki_iz_tsvetnyh_metallov,1,0
966,mednaja_vtulka,33,12
967,latunnaja_vtulka,7,13
968,bronzovaja_vtulka,21,15
969,nerzhavejuschij_shestigrannik,56,10
970,elektrody,1,0
973,fljusy,6,17
974,svarochnaja_provoloka,174,2
975,pripoj,1,0
981,redkie_metally,1,0
995,ferrosplavy,1,0
996,ferrosilitsij,2,3
998,ferromarganets,2,5
999,ferrotitan,1,18
1000,ferromolibden,1,15
1001,ferrovanadij,2,2
1002,ferrohrom,13,17
1019,otsinkovannyj_prokat,1,0
1020,otsinkovannyj_krug,173,18
1021,volframovyj_elektrod,11,11
1022,mednyj_elektrod,1,3
1023,aljuminievyj_elektrod,1,10
1026,chugunnyj_elektrod,2,12
1029,elektrod_dlja_nerzhavejuschih_stalej,16,4
1030,konstruktsionnye_uglerodistye_stali,278,14
1035,olovjanno-svintsovyj_pripoj,48,1
1036,medno-tsinkovyj_pripoj,1,10
1037,serebrjanyj_pripoj,36,10
1038,aljuminievyj_pripoj,2,6
1040,medno-fosfornyj_pripoj,2,2
1041,medno-nikelevyj_pripoj,2,11
1042,svintsovyj_pripoj,2,12
1043,latunnyj_pripoj,3,1
1045,trojnik_s_vnutrennim_epoksidnym_pokrytiem,7,7
1047,perehod_s_vnutrennim_epoksidnym_pokrytiem,2,13
1048,perehod_s_trehslojnym_pe_pokrytiem,1,8
1050,trojnik_s_trehslojnym_pe_pokrytiem,20,10
1051,nikelevyj_pripoj,3,14
1055,olovjannyj_pripoj,1,11
1056,tsinkovyj_pripoj,1,6
1059,mednyj_pripoj,1,14
1062,splav_roze,1,14
1063,splav_vuda,2,10
1070,kvadraty_iz_tsvetnyh_metallov,1,0
1072,instrumentalnye_uglerodistye_stali,112,2
1095,ressorno-pruzhinnyj_kvadrat,23,13
1096,ressorno-pruzhinnyj_shestigrannik,18,10
1097,ressorno-pruzhinnyj_prutok,29,4
1099,ressorno-pruzhinnaja_polosa,56,11
1101,nerzhavejuschaja_polosa,325,9
1107,lenta_iz_tsvetnyh_metallov,1,0
1108,mednaja_lenta,112,1
1109,mednaja_shina,158,2
1122,oborudovanie,1,0
1125,truby_iz_tsvetnyh_metallov,1,0
1127,sortovoj_prokat,1,0
1138,pischevaja_armatura,1,0
1163,olovjanno-tsinkovyj_pripoj,1,14
1188,zapornaja_molochnaja_armatura,1,0
1197,latunnye_truby,169,9
1203,bronelisty,21,18
1221,nerzhavejuschij_ugolok,29,4
1224,nerzhavejuschaja_lenta,37,12
1229,nerzhavejuschaja_plita,11,4
1233,stalnye_krugi,60,17
1237,volframovaja_provoloka,112,2
1238,bura,1,2
1245,chugunnye_zatvory,42,1
1258,nerzhavejuschaja_tkanaja_setka,32,2
1259,bronzovyj_krug,46,12
1269,aljuminievyj_krug,79,16
1270,aljuminievaja_plita,69,6
1271,aljuminievaja_provoloka,135,16
1274,latunnaja_provoloka,81,18
1276,mednaja_provoloka,112,2
1277,setki_iz_tsvetnyh_metallov,1,0
1278,latunnaja_setka,4,16
1284,stalnye_setki,1,0
1290,chugunnye_trojniki,12,8
1299,aljuminievaja_lenta,44,14
1300,aljuminievaja_folga,35,4
1310,nihrom,1,0
1330,ressorno-pruzhinnaja_pokovka,5,12
1337,ressorno-pruzhinnaja_provoloka,27,13
1338,naplavochnaja_provoloka,32,8
1339,stalnaja_provoloka,486,18
1344,nihromovaja_provoloka,52,17
1346,svarochnaja_aljuminievaja_provoloka,34,6
1348,serebrjanaja_provoloka,7,12
1349,aljuminievyj_prutok,112,1
1357,latunnyj_prutok,128,10
1358,mednyj_prutok,30,16
1365,titanovyj_prutok,112,2
1381,naplavochnyj_prutok,2,1
1382,metallicheskij_marganets,1,6
1386,pozharnyj_podstavki,2,5
1397,zahvaty_i_traversy,1,0
1418,buksirovochnyj_remen,2,12
1420,tsepnoj_talrep,1,4
1421,krepezhnaja_tsep,1,5
1431,tali,1,0
1436,lebedki,1,0
1448,naplavochnaja_poroshkovaja_provoloka,20,5
1453,hrizotiltsementnye_truby,1,0
1460,komplekty_zadelki_styka,5,3
1462,stalnaja_armatura,12,11
1463,akrilovye_truby,12,15
1464,hrizotiltsementnyj_ploskij_list,6,10
1473,aljuminievyj_kvadrat,96,15
1474,mednyj_kvadrat,31,10
1477,mednaja_folga,21,6
1480,setka_rabitsa,2,4
1488,tkanaja_setka,3,8
1489,shina_aljuminievaja,167,16
1490,mednaja_polosa,176,7
1554,otsinkovannaja_lenta,3778,18
1590,ftoroplastovaja_trubka,5,6
1591,otsinkovannyj_list,2540,6
1592,otsinkovannaja_provoloka,250,3
1594,dorozhnaja_setka,1,9
1615,shtukaturnaja_setka,3,8
1629,armaturnaja_setka,1,15
1657,otsinkovannyj_ugolok,165,6
1738,stalnye_kvadraty,225,16
1749,stalnye_shestigranniki,25,2
1817,splav_devarda,1,9
1997,metallicheskij_berillij,1,10
2004,metallicheskij_indij,3,9
2006,metallicheskij_germanij,1,9
2021,korobchatyj_gabion,1,8
2027,stalnoj_perforirovannyj_list,462,12
2035,otopitelnoe_oborudovanie,1,0
2036,registry_otoplenija,165,6
2043,svarochnye_invertory,6,6
2044,svarochnyj_poluavtomat,3,7
2045,svarochnaja_gorelka,6,8
2046,rezaki,1,0
2047,plazmennyj_rezak,1,13
2050,plazmotron,1,4
2053,gazovye_rezaki,1,0
2060,invertory,1,0
2061,invertory_plazmennoj_rezki,1,13
2062,invertornye_generatory,1,3
2064,metallicheskie_konstruktsii,1,0
2091,gajki,1,0
2114,lestnitsy1,1,0
2115,kanalizatsionnaja_lestnitsa,7,3
2130,stalnaja_gorjachekatanaja_polosa,954,3
2133,prosechno-vytjazhnoj_list,7,18
2143,stalnaja_upakovochnaja_lenta,8135,9
2145,avtomatnye_stali,278,13
2151,elektrody_iz_tsvetnyh_metallov,1,0
2166,anodirovannyj_ugolok,112,2
2178,dvutavrovye_balki,82,17
2198,ograzhdenija,17,9
2203,stremjanki,3,11
2220,kolonny,2,3
2224,ankernye_bolty,1,0
2230,blok_fundamentnyh_boltov,1,5
2231,ankernyj_blok,169,18
2233,zakladnye_izdelija,45,15
2250,vintovye_svai,7,7
2269,sendvich-dymohod,9,18
2270,odnokonturnyj_dymohod,9,4
2271,koaksialnye_dymohody,1,0
2279,ventiljatsionnye_sistemy,1,0
2280,vozduhootvody,1,0
2281,kruglye_vozduhootvody,2,11
2284,prjamougolnyj_vozduhovod,3,4
2288,otsinkovannye_vozduhovody,1,0
2293,nerzhavejuschie_vozduhovody,4,11
2302,ventiljatsionnye_otvody,32,17
2329,ventiljatsionnye_perehody,43,6
2341,ventiljatsionnye_trojniki,9,1
2350,ventiljatsionnye_zaglushki,11,12
2374,obratnye_ventiljatsionnye_klapany,1,15
2378,shumoglushiteli_dlja_ventiljatsii,6,7
